GeogName,Population,PopUnder18,PopOver65,MedianAge,PopHispanic,PopNotHisp,PopWhite,PopBlack,PopAsian,PopOTHER,Income0_49,Income_50_99,Income_100_199,Income_200up,EduOther,GardenCounts
Bath Beach,33163.0,7103.0,4888.0,38.3,5861.0,27302.0,14490.0,404.0,11975.0,433.0,4953.0,3426.0,2464.0,585.0,14146.0,0
Bay Ridge,79134.0,15110.0,12380.0,39.5,14134.0,65000.0,50197.0,1511.0,11515.0,1777.0,13710.0,9678.0,7324.0,2775.0,27422.0,0
Bedford,75318.0,22379.0,5816.0,29.1,14682.0,60636.0,26407.0,30566.0,2290.0,1373.0,15008.0,5975.0,4042.0,1034.0,28145.0,23
Bensonhurst East,64267.0,12773.0,10107.0,39.6,7923.0,56344.0,29894.0,531.0,24858.0,1061.0,11327.0,6456.0,3560.0,844.0,28860.0,1
Bensonhurst West,91646.0,19288.0,13071.0,37.8,13378.0,78268.0,39112.0,801.0,37132.0,1223.0,14741.0,8545.0,5392.0,1231.0,43161.0,2
Borough Park,105913.0,41671.0,10746.0,25.6,10244.0,95669.0,80190.0,946.0,13614.0,919.0,16728.0,6109.0,3729.0,856.0,41785.0,2
Brighton Beach,34157.0,6305.0,7804.0,44.3,3903.0,30254.0,23746.0,261.0,5105.0,1142.0,8371.0,3142.0,1917.0,667.0,12346.0,0
Brooklyn Heights-Cobble Hill,24140.0,3272.0,3214.0,37.2,1949.0,22191.0,17461.0,1197.0,2327.0,1206.0,2709.0,2176.0,3342.0,2925.0,3568.0,0
Brownsville,60124.0,16611.0,6348.0,32.1,12214.0,47910.0,740.0,45539.0,963.0,668.0,16306.0,3900.0,1200.0,146.0,30414.0,10
Bushwick North,60834.0,13875.0,3846.0,30.1,41017.0,19817.0,9252.0,5610.0,3996.0,959.0,10160.0,5217.0,3343.0,487.0,28085.0,2
Bushwick South,75003.0,15991.0,7495.0,31.1,41182.0,33821.0,10883.0,19215.0,2559.0,1164.0,15270.0,6843.0,3520.0,623.0,34676.0,16
Canarsie,88367.0,20104.0,10327.0,37.1,5467.0,82900.0,4048.0,74885.0,2509.0,1458.0,11856.0,9142.0,6533.0,1146.0,37609.0,1
Carroll Gardens-Columbia Street-Red Hook,42463.0,8634.0,4538.0,36.5,8037.0,34426.0,25780.0,4632.0,2261.0,1753.0,5745.0,3890.0,4719.0,3757.0,11155.0,6
Clinton Hill,38655.0,7204.0,3803.0,33.1,4257.0,34398.0,15508.0,14762.0,2454.0,1674.0,5706.0,4596.0,4076.0,1419.0,10068.0,6
Crown Heights North,107134.0,22045.0,11439.0,33.7,13187.0,93947.0,16853.0,70618.0,3262.0,3214.0,24841.0,11036.0,6122.0,1222.0,45814.0,19
Crown Heights South,41962.0,10171.0,4758.0,32.3,3434.0,38528.0,11814.0,25189.0,534.0,991.0,8085.0,4613.0,1932.0,341.0,16972.0,0
Cypress Hills-City Line,48899.0,12539.0,3710.0,32.6,30110.0,18789.0,1558.0,12008.0,3928.0,1295.0,7700.0,4353.0,1851.0,255.0,24508.0,0
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,42245.0,7462.0,3788.0,34.1,8691.0,33554.0,18944.0,8228.0,4684.0,1698.0,5769.0,3376.0,4705.0,3735.0,11512.0,5
Dyker Heights,45877.0,10076.0,6783.0,38.9,5148.0,40729.0,21415.0,368.0,18471.0,475.0,6703.0,4312.0,2986.0,906.0,21622.0,0
East Flatbush-Farragut,53535.0,11632.0,8278.0,39.1,3493.0,50042.0,889.0,47317.0,897.0,939.0,8741.0,6281.0,3100.0,434.0,25160.0,3
East New York,94448.0,26020.0,8989.0,32.3,25482.0,68966.0,1617.0,62486.0,2706.0,2157.0,20587.0,7971.0,3631.0,555.0,45839.0,36
East New York (Pennsylvania Ave),29447.0,8553.0,2272.0,31.0,6913.0,22534.0,560.0,21434.0,198.0,342.0,6710.0,2248.0,1050.0,71.0,14143.0,13
East Williamsburg,35985.0,4742.0,4546.0,34.2,10711.0,25274.0,15882.0,3125.0,5538.0,729.0,7634.0,3968.0,3266.0,1096.0,14811.0,7
Erasmus,29149.0,7238.0,3683.0,34.6,2843.0,26306.0,1230.0,23974.0,449.0,653.0,5569.0,3015.0,1257.0,212.0,13767.0,3
Flatbush,108653.0,26328.0,11702.0,34.3,20589.0,88064.0,24359.0,49067.0,11129.0,3509.0,19541.0,11850.0,5607.0,1420.0,43215.0,2
Flatlands,72540.0,16592.0,9671.0,37.5,6199.0,66341.0,11458.0,50633.0,3008.0,1242.0,8393.0,7621.0,5778.0,1281.0,29280.0,1
Fort Greene,30288.0,5492.0,3805.0,35.7,6482.0,23806.0,8540.0,11222.0,2937.0,1107.0,5597.0,3097.0,2399.0,1401.0,10431.0,5
Georgetown-Marine Park-Bergen Beach-Mill Basin,47997.0,11601.0,7735.0,40.4,5118.0,42879.0,32452.0,6072.0,3580.0,775.0,5347.0,4707.0,5114.0,1620.0,17926.0,0
Gravesend,30288.0,6477.0,5523.0,40.4,4327.0,25961.0,15255.0,2384.0,7534.0,788.0,6538.0,2761.0,1711.0,365.0,12967.0,0
Greenpoint,33351.0,3361.0,3240.0,34.7,4340.0,29011.0,25167.0,736.0,1950.0,1158.0,5449.0,4911.0,4151.0,1358.0,10758.0,0
Homecrest,44516.0,12516.0,6342.0,33.6,4454.0,40062.0,34673.0,427.0,3855.0,1107.0,7546.0,4239.0,2929.0,861.0,15844.0,0
Kensington-Ocean Parkway,37676.0,10438.0,4009.0,32.8,6056.0,31620.0,18756.0,2682.0,8416.0,1766.0,5759.0,3706.0,2243.0,463.0,12523.0,1
Madison,40122.0,8365.0,6984.0,41.5,3471.0,36651.0,26247.0,547.0,8893.0,964.0,6519.0,4188.0,3158.0,981.0,14732.0,0
Midwood,53377.0,14500.0,7954.0,34.6,3879.0,49498.0,39881.0,2814.0,5946.0,857.0,9779.0,4470.0,3085.0,1363.0,16514.0,0
North Side-South Side,54330.0,9660.0,3761.0,32.2,18952.0,35378.0,28571.0,1581.0,3829.0,1397.0,8980.0,5373.0,5745.0,3036.0,16791.0,7
Ocean Hill,34025.0,9463.0,3569.0,32.7,6927.0,27098.0,1310.0,24756.0,638.0,394.0,8016.0,3282.0,1108.0,219.0,15352.0,11
Ocean Parkway South,21253.0,6895.0,2939.0,31.2,1733.0,19520.0,17545.0,229.0,1082.0,664.0,3237.0,1705.0,1239.0,651.0,6555.0,0
Park Slope-Gowanus,73881.0,14515.0,6683.0,35.4,12316.0,61565.0,49436.0,3260.0,5177.0,3692.0,6301.0,7403.0,9990.0,7453.0,11712.0,11
park-cemetery-etc-Brooklyn,375.0,54.0,5.0,35.9,85.0,290.0,217.0,23.0,28.0,22.0,22.0,59.0,54.0,30.0,98.0,0
Prospect Heights,20493.0,3299.0,2105.0,36.2,2343.0,18150.0,10366.0,5090.0,1495.0,1199.0,2879.0,2231.0,2770.0,1451.0,4631.0,4
Prospect Lefferts Gardens-Wingate,69363.0,15126.0,9771.0,36.0,7294.0,62069.0,10187.0,48670.0,1514.0,1698.0,14554.0,7612.0,3670.0,754.0,31456.0,3
Rugby-Remsen Village,55951.0,11933.0,8034.0,38.7,3917.0,52034.0,985.0,49751.0,608.0,690.0,11072.0,6371.0,2882.0,436.0,26972.0,1
Seagate-Coney Island,29677.0,6965.0,5717.0,39.8,7776.0,21901.0,9216.0,8841.0,3128.0,716.0,7540.0,2096.0,1072.0,273.0,13764.0,4
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,66293.0,12509.0,12695.0,43.7,5809.0,60484.0,43445.0,4741.0,11275.0,1023.0,12455.0,7063.0,5320.0,1360.0,25197.0,0
Starrett City,12388.0,2213.0,3607.0,48.7,2208.0,10180.0,2759.0,6816.0,306.0,299.0,4821.0,1277.0,246.0,64.0,6642.0,0
Stuyvesant Heights,67371.0,15160.0,7490.0,33.2,12114.0,55257.0,6512.0,45035.0,2263.0,1447.0,14527.0,6169.0,3828.0,962.0,29703.0,20
Sunset Park East,71850.0,18795.0,5813.0,32.6,22901.0,48949.0,9109.0,1045.0,37938.0,857.0,12202.0,5425.0,2099.0,197.0,38072.0,0
Sunset Park West,57377.0,12932.0,5085.0,32.8,36494.0,20883.0,9735.0,1817.0,8447.0,884.0,8749.0,4524.0,2655.0,826.0,27825.0,0
West Brighton,15754.0,1440.0,5559.0,57.8,429.0,15325.0,14931.0,177.0,149.0,68.0,4638.0,2171.0,1169.0,154.0,5113.0,0
Williamsburg,33767.0,16185.0,2557.0,19.3,2748.0,31019.0,29533.0,1238.0,114.0,134.0,6257.0,1381.0,445.0,232.0,12393.0,1
Windsor Terrace,22031.0,4757.0,2591.0,37.5,2881.0,19150.0,14870.0,1055.0,2580.0,645.0,2489.0,2502.0,2788.0,1356.0,4928.0,1
Battery Park City-Lower Manhattan,45737.0,6829.0,2735.0,32.7,3960.0,41777.0,29642.0,1100.0,9687.0,1348.0,3862.0,3997.0,6912.0,7303.0,4441.0,1
Central Harlem North-Polo Grounds,85872.0,18896.0,8238.0,33.7,22264.0,63608.0,7770.0,51362.0,1745.0,2731.0,21212.0,8433.0,3907.0,1203.0,35633.0,16
Central Harlem South,50095.0,10381.0,4447.0,34.8,9840.0,40255.0,9974.0,26221.0,2621.0,1439.0,9250.0,4699.0,3830.0,1726.0,17869.0,11
Chinatown,44898.0,5439.0,7621.0,40.0,6604.0,38294.0,7967.0,2467.0,26336.0,1524.0,10389.0,4197.0,2367.0,1238.0,22256.0,5
Clinton,44293.0,2591.0,5024.0,38.7,8588.0,35705.0,24899.0,2510.0,7018.0,1278.0,9154.0,6268.0,6600.0,4426.0,8899.0,5
East Harlem North,61031.0,14571.0,7031.0,33.4,29200.0,31831.0,5186.0,21873.0,3337.0,1435.0,16682.0,4598.0,2114.0,519.0,27428.0,24
East Harlem South,59777.0,11144.0,7688.0,34.5,25873.0,33904.0,12998.0,13706.0,5853.0,1347.0,14178.0,5488.0,2722.0,1669.0,22910.0,16
East Village,43022.0,2203.0,4052.0,32.4,4672.0,38350.0,29218.0,2170.0,5957.0,1005.0,8649.0,5225.0,5421.0,3057.0,8312.0,13
Gramercy,27886.0,1694.0,3111.0,33.5,2091.0,25795.0,19804.0,1098.0,4002.0,891.0,2794.0,3318.0,4297.0,3758.0,3053.0,0
Hamilton Heights,52508.0,9216.0,5447.0,34.3,24053.0,28455.0,8759.0,15524.0,1863.0,2309.0,10239.0,5644.0,2714.0,629.0,23066.0,11
Hudson Yards-Chelsea-Flat Iron-Union Square,77205.0,8028.0,8915.0,37.1,10838.0,66367.0,48751.0,4429.0,11102.0,2085.0,11696.0,7902.0,10925.0,11601.0,14189.0,0
Lenox Hill-Roosevelt Island,82051.0,11976.0,13644.0,37.7,7412.0,74639.0,59069.0,3197.0,9810.0,2563.0,10625.0,10384.0,10910.0,12005.0,12162.0,1
Lincoln Square,59691.0,8199.0,10747.0,41.5,6010.0,53681.0,42982.0,2053.0,7131.0,1515.0,7516.0,6312.0,8897.0,9930.0,8338.0,0
Lower East Side,72789.0,11226.0,13063.0,41.1,28805.0,43984.0,15996.0,8007.0,17591.0,2390.0,20286.0,5570.0,4232.0,1928.0,33591.0,26
Manhattanville,23666.0,4308.0,2610.0,33.2,13381.0,10285.0,2357.0,6435.0,944.0,549.0,5795.0,1519.0,817.0,110.0,10377.0,0
Marble Hill-Inwood,52681.0,11190.0,6189.0,35.2,38689.0,13992.0,8367.0,3956.0,866.0,803.0,10840.0,5356.0,2323.0,538.0,23474.0,2
Midtown-Midtown South,27811.0,1966.0,4193.0,35.1,2307.0,25504.0,17344.0,1148.0,6029.0,983.0,4690.0,2263.0,3832.0,4722.0,4287.0,0
Morningside Heights,53707.0,6898.0,6779.0,29.6,11803.0,41904.0,25978.0,5965.0,8025.0,1936.0,8463.0,4228.0,3668.0,2960.0,10350.0,3
Murray Hill-Kips Bay,47774.0,4582.0,7071.0,34.2,5728.0,42046.0,29280.0,1996.0,9145.0,1625.0,7144.0,6348.0,7312.0,5255.0,8657.0,0
park-cemetery-etc-Manhattan,1765.0,6.0,166.0,50.9,358.0,1407.0,386.0,903.0,51.0,67.0,0.0,0.0,0.0,0.0,1539.0,2
SoHo-TriBeCa-Civic Center-Little Italy,42979.0,6582.0,4964.0,36.1,2839.0,40140.0,28050.0,1023.0,9281.0,1786.0,4951.0,3424.0,4327.0,6998.0,7453.0,0
Stuyvesant Town-Cooper Village,21462.0,2220.0,3712.0,35.4,1778.0,19684.0,15874.0,728.0,2456.0,626.0,2722.0,2708.0,3270.0,1780.0,2438.0,0
Turtle Bay-East Midtown,49628.0,4199.0,11385.0,42.3,3207.0,46421.0,36919.0,917.0,7568.0,1017.0,6021.0,6326.0,8104.0,8540.0,6722.0,0
Upper East Side-Carnegie Hill,58593.0,10017.0,16305.0,47.9,4130.0,54463.0,49005.0,602.0,3598.0,1258.0,4763.0,5421.0,6787.0,11883.0,6247.0,0
Upper West Side,134019.0,21240.0,25375.0,43.3,21966.0,112053.0,88180.0,9655.0,10607.0,3611.0,18978.0,14029.0,16222.0,16447.0,25692.0,4
Washington Heights North,73523.0,12544.0,10082.0,37.1,47310.0,26213.0,19079.0,3892.0,2028.0,1214.0,13207.0,7493.0,4059.0,1089.0,30041.0,4
Washington Heights South,92476.0,15216.0,11095.0,34.6,67385.0,25091.0,11476.0,9238.0,3003.0,1374.0,16568.0,7937.0,4113.0,677.0,43749.0,6
West Village,66772.0,5498.0,9849.0,36.5,4032.0,62740.0,53660.0,1339.0,5741.0,2000.0,8368.0,7707.0,10109.0,10722.0,7236.0,2
Yorkville,81278.0,10496.0,13634.0,38.1,8403.0,72875.0,60628.0,2494.0,7253.0,2500.0,11223.0,10948.0,12310.0,9564.0,11677.0,0
Airport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Astoria,77252.0,9783.0,9850.0,35.1,20787.0,56465.0,38563.0,2870.0,12811.0,2221.0,14655.0,10923.0,7321.0,1426.0,28134.0,1
Auburndale,20609.0,3832.0,3494.0,43.3,2732.0,17877.0,7582.0,214.0,9507.0,574.0,2084.0,2395.0,1923.0,535.0,8356.0,0
Baisley Park,39079.0,9205.0,4323.0,35.0,5132.0,33947.0,420.0,27740.0,2109.0,3678.0,4320.0,3905.0,2495.0,251.0,19370.0,3
Bayside-Bayside Hills,44864.0,8320.0,7751.0,42.7,5992.0,38872.0,18640.0,726.0,18741.0,765.0,4608.0,4998.0,4666.0,1401.0,16181.0,0
Bellerose,26916.0,5690.0,3760.0,38.3,5502.0,21414.0,7436.0,1705.0,11256.0,1017.0,2754.0,2530.0,2506.0,402.0,10919.0,0
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,28243.0,6245.0,5583.0,45.8,3469.0,24774.0,21974.0,1726.0,667.0,407.0,3392.0,3268.0,3158.0,1007.0,10946.0,1
Briarwood-Jamaica Hills,42224.0,7971.0,5344.0,37.6,11399.0,30825.0,7020.0,4892.0,16617.0,2296.0,5622.0,4804.0,3331.0,512.0,15750.0,1
Cambria Heights,19546.0,3458.0,4010.0,44.4,1015.0,18531.0,227.0,17681.0,138.0,485.0,1713.0,1974.0,1998.0,396.0,8521.0,0
College Point,25875.0,5903.0,3469.0,37.4,9809.0,16066.0,6221.0,556.0,8363.0,926.0,3596.0,2524.0,1442.0,290.0,12679.0,0
Corona,58626.0,15325.0,6196.0,33.9,36037.0,22589.0,3983.0,9504.0,8404.0,698.0,9140.0,5157.0,2148.0,198.0,29462.0,1
Douglas Manor-Douglaston-Little Neck,25738.0,4933.0,5199.0,44.9,3064.0,22674.0,11938.0,409.0,9656.0,671.0,2761.0,3033.0,2912.0,978.0,8258.0,1
East Elmhurst,21760.0,4697.0,2841.0,34.6,13548.0,8212.0,1169.0,4912.0,1725.0,406.0,3123.0,1756.0,1060.0,125.0,11398.0,1
East Flushing,26436.0,4261.0,4164.0,42.0,5053.0,21383.0,3768.0,442.0,16508.0,665.0,4262.0,2185.0,1533.0,366.0,12655.0,0
Elmhurst,83663.0,16419.0,10248.0,37.2,36138.0,47525.0,5013.0,1734.0,38777.0,2001.0,14774.0,7657.0,3679.0,765.0,41206.0,0
Elmhurst-Maspeth,26460.0,4708.0,3303.0,38.3,7178.0,19282.0,3588.0,186.0,15219.0,289.0,3495.0,2850.0,1439.0,287.0,12100.0,0
