NTA,HasGarden,GardenCounts_MMscaled,Gender_Female,Age_Over65,Unemployed,Race_Hisp,Race_White,Race_Black,Race_Asian,Race_Other,Income_Low,Income_Mid,Income_High,Edu_Other,Edu_Bachelor,Edu_GradProf,Crime_Felonies_unscaled,Crime_Misdemeanor_unscaled,Crime_Violation_unscaled,Crime_Total_unscaled
Bath Beach,0.0,0.0,0.43905188008229956,0.39484013256014644,0.32312985250715787,0.17553475921247952,0.45877933789471753,0.012548937201487479,0.5089140639046482,0.05325632751267284,0.44846350264383994,0.6752633149212434,0.3735844068153743,0.6598416550111945,0.4332044602234799,0.1961270935241563,0.010496320259901817,0.012186654995143998,0.016769126770303993,0.01208899961237521
Bay Ridge,0.0,0.0,0.5669933641526379,0.4214956177916679,0.34307631452219683,0.17773664137887396,0.6679207737552878,0.020197068074597972,0.2047171618379415,0.09159282168828088,0.4126006267471529,0.6279404503819833,0.43087840013787404,0.49414752834936937,0.5498414482263043,0.36604562492968806,0.011752041101211388,0.015232184185891482,0.027669882515380696,0.015315083199522418
Bedford,1.0,0.6388888888888888,0.5341077852002689,0.18816019385333396,0.5725120465013614,0.1969043740622984,0.36731699292514525,0.4481194392630043,0.0422940923551955,0.07435477903520338,0.6614517916657268,0.36583206778857635,0.2549531976737305,0.678466734970316,0.3841494112232632,0.20800792886567604,0.02866689597708698,0.02314444182409159,0.038305078726262556,0.026312614840943247
Bensonhurst East,1.0,0.027777777777777776,0.522524366757962,0.42391744294893463,0.3901466946367244,0.11277684212041589,0.48867891315871176,0.008211590397613218,0.5451742874695191,0.06733866246190659,0.5637119277999798,0.636602145187854,0.2610581625363899,0.7042910488340095,0.3846705873100855,0.16540777893065758,0.010267046011781205,0.008911422596972066,0.01737864012658876,0.010137855613996773
Bensonhurst West,1.0,0.05555555555555555,0.5202547097510393,0.38079629423652817,0.40452942313916423,0.13942041290684046,0.44801466633370984,0.008740222036381192,0.5711024182385356,0.05443147109321714,0.5373153113015959,0.6134230951916796,0.2988552135651459,0.7553538856042978,0.3460444483463685,0.1153542977504167,0.00968234898906667,0.00853612792918425,0.015214519402933446,0.00952764304723894
Borough Park,1.0,0.05555555555555555,0.4033730439615315,0.2595571730393209,0.2624307223478505,0.08158998688761407,0.7980291952116583,0.008952347475403286,0.18076717372149537,0.03539185867090585,0.7124102039736679,0.3372598716789901,0.20950657094847377,0.8514220371490969,0.15574304416806972,0.12257274104360236,0.007110981529803485,0.007754356204742299,0.012540229949231948,0.008004794200427545
Brighton Beach,0.0,0.0,0.5810608046976986,0.6336448161132973,0.35766783225823634,0.10219078814693,0.7324151305408375,0.007524205692274931,0.21028267356858982,0.13637146734561478,0.6881890366062566,0.33772935395925174,0.23602919968411204,0.5638702428849214,0.5291711544662064,0.2700588043858836,0.013659446193596311,0.01196245235672087,0.018898346924885463,0.013151318964591045
Brooklyn Heights-Cobble Hill,0.0,0.0,0.46945563197173046,0.35286096596786226,0.17309005041706696,0.06282324030910363,0.7622090256014173,0.05393626301481423,0.13541129647088618,0.2037732496445045,0.16377145816651306,0.21588224021877722,0.8598266783257399,0.08473526747430091,0.7758147795391329,0.8395274775290265,0.013377231758513365,0.01324267679460572,0.020488071389546527,0.013970030404218948
Brownsville,1.0,0.2777777777777778,0.8818181294662533,0.2716950451948169,0.6985505583219088,0.2065479155732131,0.008889407798486086,0.8371593640568231,0.02199263640116429,0.04531747727730089,0.9314555096457999,0.1537162101366023,0.036947050254039784,0.9502965918121934,0.08420596027836717,0.022846333226102314,0.04256115491172237,0.038000055660545755,0.06737237366820646,0.042210043427813586
Bushwick North,1.0,0.05555555555555555,0.40418892061271494,0.14693245116596867,0.5781941643442668,0.7596782127591524,0.15698428755099555,0.10110943750366638,0.09207937680598108,0.06429976164801773,0.591284911124357,0.5516258800167183,0.2625603291044951,0.7923234839957883,0.31188576139553814,0.08445352922311615,0.024398741923424696,0.017699521209641425,0.025668746223163664,0.02055734424982209
Bushwick South,1.0,0.4444444444444444,0.5066249475700753,0.25504711741305924,0.5853305752590332,0.6127084396731622,0.1495835309606721,0.2825455513472743,0.04753502372208789,0.0633011317560669,0.6699069102135189,0.5033757896015355,0.19400636115433348,0.7826799438264578,0.33063591988823093,0.08403294746410042,0.02999414040213788,0.023610441720945025,0.037645553001409364,0.02694271620235893
Canarsie,1.0,0.027777777777777776,0.7615497451297069,0.30492661315934294,0.38784477774144915,0.04066695460604094,0.0443837735849116,0.9367604108475782,0.03945582018751412,0.06729836946288373,0.4186081595546328,0.7586621560522954,0.37519015530545174,0.7590288801795373,0.3024421848869854,0.14693713887010687,0.018378671150438425,0.015025097290586164,0.033699697584738515,0.017844266098148424
Carroll Gardens-Columbia Street-Red Hook,1.0,0.16666666666666666,0.596494497173206,0.2754876834402449,0.3749028746263231,0.1902554814960999,0.6390893164817353,0.11977075798703378,0.07452512125359216,0.16838692715705686,0.2748045784726312,0.3021890515702327,0.7050404131754209,0.2856444726513607,0.6549015134757297,0.6158159840303539,0.01903691210893343,0.019616670354598745,0.02709516039059027,0.02014169133938399
Clinton Hill,1.0,0.16666666666666666,0.6116092605926915,0.25049315780361875,0.36305490625460063,0.09733174392904476,0.42090994096399625,0.42163527114176186,0.08897185896098676,0.17663912525726255,0.3405585512911473,0.6364270827448558,0.5071045061658103,0.36047636792916227,0.6873979600927493,0.4656649013158631,0.023959168513782946,0.017918410001652084,0.024628440923578552,0.0204503402918449
Crown Heights North,1.0,0.5277777777777778,0.7102702489671104,0.27520292646895966,0.4274124792529052,0.11254939711748699,0.16251664198198063,0.7284313308003832,0.042355376571885144,0.12236456806567515,0.6596881222232343,0.48017016898018483,0.21398066167484978,0.6858843180614996,0.3636146810957705,0.21359990127548278,0.03296078626811715,0.028523892628589304,0.04771447071203501,0.031732131386249245
Crown Heights South,0.0,0.0,0.607713008730058,0.2946871788855474,0.5764915785067886,0.06411311819058396,0.2941412400459068,0.6632860090073397,0.017348743776365177,0.09632845713365897,0.607829441072405,0.711862895901484,0.18417869209092666,0.6869235285696896,0.34576126502088855,0.22729172429060174,0.01997213739693389,0.018948367240327287,0.0345569181492971,0.02074581083565403
Cypress Hills-City Line,0.0,0.0,0.5541312733378501,0.18418827068790575,0.3608534007802397,0.6910084295630888,0.029606544393593913,0.2707918110420119,0.11273975990391491,0.10802068325814278,0.6134781018666641,0.7088253868683944,0.17909233105326544,0.9287586440161003,0.10471588632526586,0.04032327118636164,0.02202030177004632,0.017194210576295978,0.02015749022579365,0.018990327431589262
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1.0,0.1388888888888889,0.5505545540657866,0.22482316938337119,0.4025327629234642,0.2095791195642649,0.4709625695962163,0.21458247659919918,0.1558446619366298,0.1639455000693526,0.29102462546772473,0.20210033661333615,0.7247292868381652,0.319921947098634,0.6653131918403742,0.5508936970722562,0.03956086720421207,0.04761826638339061,0.06189019016667845,0.04643683841580964
Dyker Heights,0.0,0.0,0.5267852643596629,0.3961910776641906,0.3858762289680519,0.09977984769836523,0.49041485007947505,0.007944969610363187,0.5675075504289879,0.04223142425661707,0.4727421934693239,0.6290482371483627,0.3641689043706653,0.7483289557450009,0.29627173415951197,0.1697201365746377,0.007427474180779311,0.007332348205285031,0.015082731311905415,0.008095065979039055
East Flatbush-Farragut,1.0,0.08333333333333333,0.8141009920520395,0.41614795968634827,0.37416550906237966,0.044635571887856655,0.013443203401799353,0.9770594334168352,0.023034687341899365,0.07154263217994922,0.5047335449241641,0.8451102585021594,0.24780650424252762,0.7845021848350091,0.26516746879064534,0.1374865800821779,0.02292052537943882,0.017168605344703707,0.034806950460058966,0.02064313569292693
East New York,1.0,1.0,0.6981555478498271,0.24104163900389977,0.5167205227214521,0.28480655462489646,0.013988393629714468,0.7311265002814142,0.03981949473360727,0.09315249864451419,0.740364422038697,0.42792022836890353,0.14466358749732094,0.9039529578707391,0.14420641953818342,0.04677429467123598,0.03795413826731918,0.03356593203153959,0.04470738628466713,0.03599779239885566
East New York (Pennsylvania Ave),1.0,0.3611111111111111,0.7420327751780627,0.18797261250988237,0.7173143792257571,0.24366678845497178,0.015997931512576995,0.8044797043026143,0.008879849231140744,0.04737205000329376,0.7956830241580356,0.3384039250598496,0.11728602001814903,0.9537450544009888,0.07483549716102551,0.025294184385551616,0.04055416541086295,0.03625619379270762,0.05291029767391297,0.039180959337177766
East Williamsburg,1.0,0.1944444444444444,0.5358717254476493,0.3328049693920796,0.3656605447544221,0.31750907451998794,0.46346003487460213,0.09516036908818126,0.21654847757564377,0.08263102701579333,0.5154048448592533,0.4504150352687165,0.38419179715412144,0.5522907241041486,0.6273797197057934,0.2043121484456087,0.03003931041475421,0.025660444327050457,0.039651454359853254,0.028358810706646892
Erasmus,1.0,0.08333333333333333,0.7668127639496358,0.3328650606746054,0.461981125291557,0.08254393204050434,0.04055689420062701,0.9091332578186158,0.02112726644102707,0.09137484438793755,0.6286327476275143,0.6757921155288641,0.17478643962170282,0.8232383027970166,0.23225401121811373,0.10262918828390069,0.03915832133751718,0.03212412565144126,0.06416535857668197,0.037363297257416724
Flatbush,1.0,0.05555555555555555,0.6446474589898976,0.27793563562297147,0.3894512000481615,0.1905167231095113,0.2333792761809314,0.4987617678184326,0.14392127268856691,0.13172820546778732,0.5608986824683919,0.7132678592127971,0.23538283635557603,0.6617166306342201,0.3839272458218663,0.23553925870368864,0.018282849865963086,0.016633135753360704,0.028177155787138308,0.018242872788996688
Flatlands,1.0,0.027777777777777776,0.6533633679164308,0.3533897309258246,0.4535180952963197,0.06836388494958509,0.16320167364801705,0.7714140007461333,0.05790359127450762,0.06983629227783031,0.344370545951582,0.8091674628870372,0.43806474954315155,0.6938019997875681,0.3572207085039621,0.20618753908883483,0.01691068153804528,0.0142009393247017,0.024839503517222486,0.01605802645265892
Fort Greene,1.0,0.1388888888888889,0.7097607330953859,0.33073414948973007,0.46909122169475753,0.21930521841046194,0.2945856056440498,0.40904173817477385,0.1362199296291458,0.14907820453730147,0.4702321847232539,0.4474293472017886,0.4351060237529397,0.4724520040811546,0.4851119190795592,0.45724852299072405,0.035827999019293635,0.04121939283864994,0.04772297400067709,0.040140848092504004
Georgetown-Marine Park-Bergen Beach-Mill Basin,0.0,0.0,0.5424061833140139,0.4353748407412666,0.3267482834430397,0.09322652444677079,0.7122041352406093,0.13905135921278264,0.10463916086868387,0.0658604568150043,0.276733643052336,0.5900690767157432,0.5948587226913072,0.6070190823435497,0.42770447452169047,0.2870856090170864,0.01294640560887805,0.013943476665311382,0.016641906992252032,0.013885436780079786
Gravesend,0.0,0.0,0.6611507630061846,0.4977951724417101,0.49677255658999653,0.13576549830945572,0.5294819768424611,0.08616367360205918,0.35038327702549915,0.10611890259746483,0.6597261900638757,0.4248100683394719,0.23471802247626608,0.694730125721189,0.34408276447375724,0.21599636276540246,0.01488506239448914,0.013588608761827053,0.02119743343162605,0.014715290587410041
Greenpoint,0.0,0.0,0.5599698555634238,0.24685688525226854,0.25365948975183944,0.120817844867604,0.7953584122919035,0.023487948046538653,0.0818945299322411,0.14162399086077498,0.31390570224892744,0.717753927787688,0.505957884918566,0.36689356997933464,0.7524473222997562,0.39912390791381236,0.01756291905271567,0.01685492827415331,0.02457675760020564,0.017807453150532795
Homecrest,0.0,0.0,0.5050013559417494,0.3803272557650197,0.3735936314788017,0.08550338661327805,0.8210814075373568,0.009682862404523441,0.1215859416754741,0.10143051170423642,0.5248103792559423,0.5540275581091821,0.3349333426665896,0.6056728090191205,0.4550638365417564,0.2657017075360104,0.01246711340873533,0.011305591314814829,0.01510049470507282,0.012029264324718233
Kensington-Ocean Parkway,1.0,0.027777777777777776,0.47944421543000004,0.2741262462104816,0.2975227268731335,0.15675551280450992,0.5232931527506992,0.07783703500334119,0.31458912683971263,0.19118906104661745,0.5078919695490608,0.6959101763668892,0.3003269971621183,0.5746595299198853,0.4592635569463549,0.31270239745055595,0.010055323325272914,0.008790426765364717,0.019660050809624314,0.01021552119600797
Madison,0.0,0.0,0.5066565730423527,0.47340743083640136,0.26650876963298853,0.0696024059054659,0.6889525223208395,0.01415466699617143,0.3121489943005218,0.09800124424707125,0.4569806714645308,0.5976063921388869,0.39334438077599865,0.564952808566051,0.49102245692049395,0.3011725735234004,0.012883004134686505,0.0091197713311035,0.014497192232421765,0.010810302873659227
Midwood,0.0,0.0,0.5461099142229688,0.39961825860120753,0.41991199278143965,0.05335315600167372,0.787461916189956,0.05740360592025545,0.15657737226167873,0.06548831106565883,0.5823945347830809,0.40879271133272777,0.3259723328766043,0.5447734015299677,0.4850013272338003,0.33929946413552053,0.009683794366335537,0.008361038063451884,0.013855238840536776,0.009296033486166339
North Side-South Side,1.0,0.1944444444444444,0.43794534988219924,0.16461539792010405,0.26818443928501573,0.37760038492305487,0.5530177805644972,0.031268525482351,0.09883795657799567,0.10488027813332898,0.38085839701554147,0.3788591614118998,0.5593599226892018,0.3756483307886799,0.7654912656864281,0.3735915099510637,0.026393279549280238,0.02172846356971423,0.02748084034101885,0.02373764543247937
Ocean Hill,1.0,0.3055555555555555,0.688005310573621,0.2696677189504214,0.46826551316943615,0.2070630875298368,0.03664110390444689,0.8041462740846097,0.0258504650288423,0.0472318783522706,0.7496375283633722,0.5004538721416082,0.10721651384223152,0.8515444303092158,0.2237015162154386,0.06379886445033806,0.036730845213451824,0.03214184386844268,0.05370754976649387,0.035622441482103494
Ocean Parkway South,0.0,0.0,0.4811130807967916,0.3680182469650146,0.29107571299124274,0.06376731639630479,0.870498623362701,0.010991744318567951,0.07122906410538749,0.12743389764042973,0.5088272694762984,0.4548111298906755,0.3897921523282679,0.5840059643144903,0.43016280198885026,0.32252920624321696,0.008074075305151812,0.007756621895662487,0.015459482026868107,0.00858468141871912
Park Slope-Gowanus,1.0,0.3055555555555555,0.5511247866352513,0.22714655564396155,0.21605732291526383,0.1637551768856937,0.7047924004259718,0.04789390468393291,0.09826708492174091,0.20382903884246495,0.103068892918877,0.4026640206927564,0.8566305192734491,0.11599637650586878,0.7648598428998197,0.7979446649833193,0.014195960298009775,0.012995878708348356,0.02401150238964735,0.014414419104942696
park-cemetery-etc-Brooklyn,0.0,0.0,0.0,0.0,0.3988252936765808,0.23416327127371653,0.6089464222648138,0.06693507561666152,0.1047501701092748,0.23929219993632597,0.0,0.9288812165999453,0.77272798509898,0.2753985274745425,0.9533657896214197,0.37529019226272714,1.0,1.0,1.0,1.0
Prospect Heights,1.0,0.1111111111111111,0.5230958024439611,0.2632604410564649,0.25629065605859674,0.10226739737885435,0.5317773214386411,0.2739012141597396,0.10233032878301154,0.23864413878878943,0.26184858291317087,0.4088791759512119,0.6792757669348731,0.21828038703063948,0.6856690011088719,0.6992501300229763,0.017224529968158157,0.014874675873384438,0.023397704781471098,0.016418684005996907
Prospect Lefferts Gardens-Wingate,1.0,0.08333333333333333,0.7222661533155574,0.3756206805653391,0.4771612450026507,0.09149499154702001,0.1514526800847444,0.7754746878562835,0.030191238990269088,0.09984974194354049,0.6187460831926909,0.6159382984411025,0.20815048261880129,0.7417320793882194,0.2946141761786012,0.18191635156191568,0.027107280701192196,0.02372366469811636,0.04333441393192872,0.02664078764127261
Rugby-Remsen Village,1.0,0.027777777777777776,0.7795694155793105,0.3836385933406881,0.44112144978948925,0.05022519660210955,0.014501358821650207,0.9829649504759385,0.014725399519221456,0.05030120245923327,0.5977618261789083,0.7063522174136495,0.19734458797311863,0.8187792184487132,0.23549070805774885,0.10711764951243341,0.0252913184271226,0.01897545253086549,0.04517304034218795,0.023436443447066024
Seagate-Coney Island,1.0,0.1111111111111111,0.7231576886488904,0.5281057119441944,0.8021361548558742,0.2756739794168022,0.3248699951147433,0.3287066019900513,0.14811842545612092,0.09840794322340767,0.8269179542106817,0.1972433026122844,0.13584035070504974,0.7945762321721991,0.25674561518128924,0.12830240782473346,0.03260877655073556,0.03244711959823539,0.0538303474008236,0.03451978953098382
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0.0,0.0,0.5801745473499191,0.5247410041234586,0.44731190083834965,0.07091156545044708,0.6901905214302946,0.07820212280604451,0.23938037872338963,0.06294265965320145,0.5112456777776152,0.5427646708456079,0.3541131383126971,0.5712966377789639,0.4968397379803673,0.28580407897383353,0.015051160449566793,0.012923612591147639,0.022924544704648504,0.014537535285744984
Starrett City,0.0,0.0,1.0,0.8182958938080096,0.4759235656924278,0.17730053086520414,0.23181625828929986,0.6078816116047528,0.034246762093889285,0.09844805059830831,0.9251070331860693,0.2341410648334057,0.013757600962423802,0.850294065131281,0.15788533494111673,0.12256737632462675,0.012243908589649187,0.009456013005239818,0.016588259286176278,0.01100610888077077
Stuyvesant Heights,1.0,0.5555555555555556,0.6489517526139417,0.2881697110863666,0.6023849652560122,0.1791477909325639,0.09825917409191078,0.7387294686356163,0.046789264804400994,0.08760576103722055,0.6525973992705999,0.4218659126090202,0.2436811300065461,0.7453470701186095,0.31527665922876386,0.15820668792418058,0.03134809442803418,0.02594617568360567,0.04820013094167857,0.02974719628112597
Sunset Park East,0.0,0.0,0.4270270193171677,0.1990146445445884,0.37098060292308493,0.34226170814741425,0.1301704716234171,0.015162443975992139,0.7444480223135164,0.0486509336082348,0.716052021224662,0.554604327422732,0.123912333426968,0.9012406431613998,0.1289997172391843,0.06430819971576451,0.01429566489677353,0.011761301391099443,0.017435058849383067,0.013093852825705387
Sunset Park West,0.0,0.0,0.3013664970513328,0.22175110997721573,0.4016078876220805,0.7148195799811894,0.17561165451760039,0.034109816825962605,0.20712524532972948,0.06284222556622472,0.5811669051379237,0.5446270523389928,0.27634034513916483,0.7877752163399022,0.23419796154959355,0.15883721091352965,0.02010662753913835,0.021904368138680463,0.02988624852700117,0.02209440669316492
West Brighton,0.0,0.0,0.7571378656855927,1.0,0.406196745903897,0.0,1.0,0.011501062251629236,0.012737608299098448,0.017605777171674473,0.6531058054103183,0.5312185372089976,0.2020753891042427,0.4356337013117816,0.5854863429687577,0.4308303210350582,0.03367537775876326,0.03148658143712048,0.0378792196271545,0.032778560532115704
Williamsburg,1.0,0.027777777777777776,0.3868359363987408,0.18375869935282776,0.20197501644996912,0.06357922158445109,0.9224997152995964,0.03963713350569861,0.004155853485138165,0.016186369487692906,0.9253381817692368,0.08844269034234842,0.0681904525739001,0.9894871597732414,0.0,0.03145671357572358,0.005682133228615561,0.0061355233755377185,0.010727310752130266,0.006427285581331606
Windsor Terrace,1.0,0.027777777777777776,0.6404443017100405,0.3071123303143003,0.19351832714898196,0.12156840502315641,0.7109670871162728,0.05205665574636546,0.16463644643465497,0.11941603125265399,0.20793762396200388,0.5615971143365667,0.681379067943872,0.25735076110483834,0.6971791816246481,0.6255579696264819,0.006757824894963943,0.00573842618704247,0.012384041456922578,0.006687005972104243
Battery Park City-Lower Manhattan,1.0,0.027777777777777776,0.528007149615739,0.1368514037226117,0.1741319293220791,0.06968557961208863,0.6825075586211552,0.025681322138192943,0.298248661288312,0.12021518987791145,0.062206537208247537,0.1542212514727057,0.9949254348867085,0.0,1.0,0.7846064735794451,0.018461237138034697,0.02604619350799675,0.027643240384129186,0.023814691153202106
Central Harlem North-Polo Grounds,1.0,0.4444444444444444,0.6362872561078969,0.24327831802582403,0.6643158974261526,0.27244337931581836,0.09171645604288028,0.6608976974689201,0.02806584195952681,0.12972009304535181,0.7128709556517876,0.42444171322997704,0.1762751262397894,0.6924597705120419,0.3323251847874671,0.2298360588357216,0.022331347413024717,0.027600514558163473,0.039248603003909345,0.027046801508175778
Central Harlem South,1.0,0.3055555555555555,0.5998692498979867,0.2221839819841179,0.338992043504507,0.198657711304391,0.20679741558739903,0.578244431192908,0.07321882437086995,0.11716652305223703,0.5094812767009405,0.41685430007216084,0.40331827773575035,0.5232636188975887,0.4440695589421825,0.4096876569396495,0.029154764381970625,0.03667660158570004,0.044173037173642536,0.035022742503529006
Chinatown,1.0,0.1388888888888889,0.3384605525360347,0.4606580529099883,0.3773320056260526,0.1407286622936816,0.1838538941277653,0.05986828075973821,0.8270750941980426,0.1384506824191504,0.6542523731825328,0.3721130744503006,0.26053150814852044,0.6518340083019768,0.4702877447789663,0.17723486552424278,0.026924962814127682,0.029898628309977856,0.030021609352716517,0.028976198508970055
Clinton,1.0,0.1388888888888889,0.1900477700826455,0.29479967899471776,0.26992915932955114,0.19567999141178843,0.5914396028227751,0.06177294685847941,0.22296513084897404,0.11768819084842488,0.3179995189342729,0.39965301101917683,0.6208439513363326,0.1742742895558074,0.9340186783384964,0.5570225964907598,0.04240275860217363,0.043006538592133874,0.05027386236557727,0.04350404727175767
East Harlem North,1.0,0.6666666666666666,0.6660003532641761,0.30003412392698126,0.43449676463517956,0.5297843164796245,0.08587829417954396,0.3956329059718923,0.07654401181419689,0.09590440259922708,0.843315041080003,0.20341063926964886,0.11545104009992249,0.7561609263573004,0.27378114721965496,0.17632151073216165,0.034472878686023056,0.05141235642136741,0.05330235413531154,0.04627020468002651
East Harlem South,1.0,0.4444444444444444,0.6682938981832893,0.3395228652371649,0.5156210861432993,0.4762204329095826,0.2262284135572611,0.25277575323254864,0.1375531096693685,0.091911659921524,0.681517595620352,0.36072986125822937,0.23474988664206534,0.5821216017109301,0.4461404126037877,0.3118336327370385,0.02031665655894327,0.025565314782979708,0.032201726426873134,0.024544164515586987
East Village,1.0,0.3611111111111111,0.41602802073631917,0.23812674222071425,0.24972857527707118,0.09553244351511095,0.7153988593198087,0.054880735612408804,0.19477121482712786,0.09528237968206844,0.37902313287084466,0.3854613812955848,0.5589047910172456,0.18168444399270148,0.9557255204698135,0.5262182496852947,0.028115288811901135,0.02402639036624596,0.022074529368155373,0.02512619625904594
Gramercy,0.0,0.0,0.716898069264936,0.2893063589047645,0.27058559654329056,0.05606787803801209,0.7482817554897565,0.04263752513285417,0.20189535039667672,0.1303252630901868,0.09547699782309416,0.38742065153129823,0.8707205934501667,0.04380845083513796,0.9930579850155276,0.7190848695234351,0.02744665589944522,0.023386855109522996,0.024980077000809803,0.02481272657277598
Hamilton Heights,1.0,0.3055555555555555,0.4167811395259702,0.2662603936695746,0.4360700998280695,0.5058757309547212,0.1725871934877082,0.3262088960645041,0.049456406565239454,0.1793641260031945,0.5966445835381994,0.6479238290637696,0.22050711736537673,0.6596539467011034,0.3504602668275868,0.2677515436539812,0.02276979619348467,0.02939792484238139,0.04499535497583621,0.02879077844098787
Hudson Yards-Chelsea-Flat Iron-Union Square,0.0,0.0,0.3523316393364797,0.30082358996040254,0.23222665756830413,0.1328508952261057,0.6648690198455954,0.06254601448866959,0.20229905482125302,0.11015336313899528,0.2156909661275217,0.1828207176096185,0.8150057029223334,0.13194464281185422,0.8592936809986005,0.6905201035944606,0.0,0.0,0.0,0.0
Lenox Hill-Roosevelt Island,1.0,0.027777777777777776,0.7418007117906105,0.4504866854144918,0.16358992017245935,0.07409101196517515,0.7585893774501877,0.04218272192338143,0.1680964363576484,0.12740951340895593,0.16224560696643398,0.39708546837227565,0.7934942812301254,0.08160915104578523,0.8179677851738674,0.8082978771015008,0.007432640006829566,0.0065749375147140425,0.008065285077358632,0.006985270370912566
