NTA,GardenCounts_MMscaled,HasGarden,Gender_Female,Age_Over65,Unemployed,Race_Hisp,Race_White,Race_Black,Race_Asian,Race_Other,Income_Low,Income_Mid,Income_High,Edu_Other,Edu_Bachelor,Edu_GradProf,Crime_Felonies_unscaled,Crime_Misdemeanor_unscaled,Crime_Violation_unscaled,Crime_Total_unscaled
Bath Beach,0.0,0.0,0.4968488978681061,0.14739317914543315,0.07056615577103535,0.17673310617254168,0.4369327262310406,0.01218225130416428,0.3610951964538793,0.01305671983837409,0.4334091704585229,0.29978998949947494,0.2668008400420021,0.6637981697590463,0.22437242884728406,0.11182940139366973,0.030033471036999063,0.06564544824050901,0.014443807858155171,0.11012272713566323
Bay Ridge,0.0,0.0,0.5219627467333889,0.15644350089721232,0.07492212949092897,0.17860843632319862,0.6343291126443754,0.0190941946571638,0.1455126747036672,0.022455581671595018,0.40941260787768385,0.28900767462000176,0.3015797175023144,0.5357351576197188,0.2719756609027467,0.1922891814775345,0.03362650693759951,0.0820506988146688,0.02383299213991457,0.13951019789218289
Bedford,0.6388888888888888,1.0,0.5155075811890916,0.07721925701691494,0.12502705627705624,0.19493348203616664,0.3506067606681006,0.4058259645768608,0.0304044185984758,0.01822937412039619,0.5759238650754058,0.22928738631566828,0.1947887486089259,0.6781932716793996,0.20435151677612476,0.11745521154447572,0.0820255450224382,0.12467139329244005,0.032993441142887485,0.2396903794577657
Bensonhurst East,0.027777777777777776,1.0,0.5132338525215118,0.15726578181648435,0.08520151330394272,0.12328255558840462,0.465153189039476,0.008262405277980923,0.3867925996234459,0.016509250470692582,0.5105241808266101,0.2909812052102583,0.19849461396313156,0.6981525755270593,0.20456422516844164,0.09728319930449902,0.029377440988376618,0.048002863055689536,0.01496880202903512,0.09234910607310128
Bensonhurst West,0.05555555555555555,1.0,0.5127883377343255,0.1426248827008271,0.08834246067244125,0.14597472884795845,0.426772581454728,0.008740152325251509,0.4051677105383759,0.013344826833686142,0.4928616804306396,0.2856999565348223,0.2214383630345381,0.7376184323858742,0.18879968007874984,0.07358188753537591,0.02770442790738276,0.045981275778539166,0.013104772712393341,0.08679047639831526
Borough Park,0.05555555555555555,1.0,0.4898454391812148,0.101460632783511,0.05731048087515692,0.0967208935635852,0.7571308526809741,0.008931859167429872,0.12853946163360494,0.008676932954405974,0.6100211509007366,0.22277733206914158,0.1672015170301218,0.8118683596786732,0.11113167734053972,0.07699996298078703,0.020346888483944368,0.041770132089545185,0.01080131806293845,0.07291833863642799
Brighton Beach,0.0,0.0,0.5247240682729748,0.2284743976344527,0.07810867293625914,0.11426647539303805,0.6952015692244635,0.007641186286851891,0.14945691951869308,0.03343384957695348,0.5938142867276726,0.2228843016244591,0.18330141164786834,0.5896230112077749,0.2635394623403088,0.1468375264519163,0.03908422870861024,0.06443774336153643,0.016277776151301344,0.11979974822144802
Brooklyn Heights-Cobble Hill,0.0,0.0,0.5028169014084507,0.1331400165700083,0.0377999722569011,0.08073736536868269,0.7233222866611433,0.049585749792874896,0.0963960231980116,0.0499585749792875,0.24291606886657102,0.1951219512195122,0.5619619799139168,0.2193053094969668,0.3642025017447791,0.41649218875825417,0.03827671913835957,0.07133388566694282,0.017647058823529408,0.1272576636288318
Brownsville,0.2777777777777778,1.0,0.5837602288603553,0.1055817976182556,0.1525517593933714,0.2031468298849045,0.01230789701284013,0.7574180027942252,0.01601689840995276,0.011110371898077306,0.7565887156644395,0.1809576837416481,0.062453600593912396,0.8882873224336639,0.08193513803269901,0.029777539533637095,0.12178165125407492,0.20469363315813985,0.058030071186215164,0.3845053555984299
Bushwick North,0.05555555555555555,1.0,0.4900055889798468,0.06322122497287701,0.12626793578633327,0.6742446658118815,0.15208600453693658,0.09221816747213728,0.06568695137587534,0.01576421080316928,0.5289738116311762,0.27161972197636275,0.19940646639246107,0.7661917935724074,0.1748584430023011,0.058949763425291526,0.06981293355689253,0.09534142091593516,0.02210934674688497,0.18726370121971267
Bushwick South,0.4444444444444444,1.0,0.5101129288161806,0.09992933615988693,0.12782640858093947,0.5490713704785142,0.14510086263216138,0.2561897524099036,0.034118635254589816,0.015519379224831006,0.581581352833638,0.26062614259597805,0.1577925045703839,0.7587384165176394,0.18251097382539425,0.05875060965696635,0.08582323373731718,0.12718157940349056,0.032425369651880594,0.2454301827926883
Canarsie,0.027777777777777776,1.0,0.560152545633551,0.11686489300304413,0.084698813151222,0.061866986544750875,0.045808955831928205,0.8474317335656976,0.028392952120135345,0.016499371937487975,0.41343236740244793,0.3187920633260104,0.2677755692715416,0.7404587918143131,0.1710042216985131,0.08853698648717384,0.05258750438512114,0.08093519073862415,0.029026672852988107,0.1625493679767334
Carroll Gardens-Columbia Street-Red Hook,0.16666666666666666,1.0,0.527753573699456,0.10686950992628877,0.08187251795098079,0.18927065916209407,0.6071167840237384,0.10908320184631326,0.053246355650801866,0.041282999317052496,0.31721053503395724,0.21478659378278397,0.4680028711832588,0.374585635359116,0.31485398579321233,0.3105603788476717,0.05447095118102819,0.10566846431010526,0.023337964816428417,0.1834773803075619
Clinton Hill,0.16666666666666666,1.0,0.5307204760056914,0.09838313284180572,0.07928511980375838,0.110128055878929,0.40119001422843104,0.381891087828224,0.06348467209934032,0.04330616996507567,0.36120782427043113,0.2909413179717668,0.3478508577578021,0.4324223137401722,0.3281168101834519,0.2394608760763759,0.06855516750743759,0.0965205018755659,0.02121329711550899,0.18628896649851248
Crown Heights North,0.5277777777777778,1.0,0.5500868071760598,0.10677282655366176,0.09333973743195643,0.12308884201093954,0.15730767076745011,0.65915582354808,0.0304478503556294,0.02999981331790095,0.5747437588209435,0.25533883991578166,0.16991740126327481,0.6839262330859887,0.1959706460061109,0.12010312090790047,0.0943117964418392,0.15364870162600108,0.04109806410663282,0.2890585621744731
Crown Heights South,0.0,0.0,0.5299556741814022,0.11338830370335065,0.12589611951343602,0.08183594680901768,0.28154044135169914,0.6002812068061579,0.012725799532910729,0.02361660550021448,0.5400440852314474,0.3081290494956917,0.15182686527286088,0.6847294264797852,0.18868410403561048,0.12658646948460436,0.057146942471760165,0.10206853820122967,0.029765025499261237,0.1889805061722511
Cypress Hills-City Line,0.0,0.0,0.5194380253174912,0.07587067220188552,0.07880434782608696,0.6157590134767582,0.031861592261600444,0.2455673940162376,0.0803288410805947,0.0264831591648091,0.5438237163641501,0.3074369658874214,0.14873931774842855,0.8716408997412248,0.09030588547541636,0.03805321478335877,0.06300742346469253,0.092619480970981,0.017362318247816932,0.17298922268349046
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.1388888888888889,1.0,0.5187359450822583,0.08966741626227956,0.08790642347343379,0.20572848857853,0.4484317670730264,0.19476861167002013,0.11087702686708488,0.04019410581133863,0.32806369064543645,0.19198180267273243,0.4799545066818311,0.4010782860926317,0.3191033199861273,0.27981839392124097,0.11319682802698545,0.2565037282518641,0.05330808379689904,0.4230086400757486
Dyker Heights,0.0,0.0,0.5140702312705713,0.1478518647688384,0.08426891502107832,0.11221309152734486,0.4667916385116725,0.008021448656189376,0.4026200492621575,0.010353772042635745,0.44965452471993017,0.2892600791574428,0.26108539612262693,0.7321889479740026,0.1684858662188637,0.09932518580713376,0.02125247945593653,0.03949691566580204,0.01299125923665453,0.0737406543583931
East Flatbush-Farragut,0.08333333333333333,1.0,0.5704679181843654,0.15462781357990102,0.08171148964350097,0.06524703465022882,0.016605958718595312,0.8838516858130195,0.016755393667694032,0.017539927150462313,0.4710605733994396,0.3384888984694977,0.19045052813106272,0.760146804835924,0.15579123488773747,0.08406196027633851,0.06558326328570094,0.09248155412347064,0.029980386662930788,0.1880452040721024
East New York,1.0,1.0,0.54770879213959,0.09517406403523633,0.11284312053973745,0.2697992546162968,0.01712053193291547,0.6615915636117229,0.028650686091817718,0.022837963747247163,0.6287258734424628,0.24343391155631566,0.12784021500122159,0.8524688810948353,0.10642321711024,0.0411079017949247,0.1085994409622226,0.1808084872098933,0.03850796205319329,0.32791589022530915
East New York (Pennsylvania Ave),0.3611111111111111,1.0,0.5563215268108805,0.07715556762997929,0.15664946407304484,0.2347607566135769,0.01901721737358644,0.7278839949740211,0.006723944714232349,0.01161408632458315,0.6657406488738963,0.22303799980156763,0.11122135132453616,0.8909525979945305,0.07811075660893345,0.030936645396536008,0.11603898529561585,0.19530003056338507,0.04557340306313037,0.3569124189221313
East Williamsburg,0.19444444444444442,1.0,0.5158538279838821,0.1263304154508823,0.07985414767547858,0.2976517993608448,0.4413505627344727,0.08684173961372793,0.1538974572738641,0.020258441017090453,0.47820095214232017,0.24855925833124531,0.27323978952643446,0.5806733393994541,0.3036214740673339,0.11570518653321203,0.08595248020008336,0.1382242601083785,0.034153119355286934,0.2583298596637488
Erasmus,0.08333333333333333,1.0,0.5611856324402209,0.12635081820988714,0.10088895160152392,0.09753336306562832,0.04219698788980754,0.8224638924148341,0.01540361590449072,0.022402140725239286,0.5539639908485029,0.2999104744852283,0.14612553466626876,0.7900854879065888,0.1423582151793161,0.06755629691409508,0.1120450101204158,0.17304195684243026,0.055267762187382066,0.3403547291502281
Flatbush,0.05555555555555555,1.0,0.5372055994772349,0.10770066173966664,0.08504962891723675,0.18949315711485187,0.22419077245911292,0.4515936053307318,0.10242699235179883,0.03229547274350455,0.5086417824977874,0.3084491644541621,0.18290905304805039,0.6652473160312165,0.20426084407153527,0.13049183989724833,0.052313327749809034,0.08959715792476967,0.02426992351798846,0.16618040919256716
Flatlands,0.027777777777777776,1.0,0.5389164598842018,0.13331954783567687,0.09904076738609112,0.085456299972429,0.15795423214778054,0.6980011028398125,0.04146677695064792,0.017121588089330026,0.3637585056126208,0.3302994842456551,0.30594201014172406,0.6900457147563939,0.19336106420658128,0.11659322103702485,0.04838709677419355,0.0764957264957265,0.0213950923628343,0.14627791563275433
Fort Greene,0.1388888888888889,1.0,0.5499867934495509,0.12562731114632858,0.10244167774688746,0.2140121500264131,0.281959852086635,0.3705097728473323,0.09696909667194928,0.03654912836767036,0.4479750280134464,0.24787898191131738,0.30414599007523613,0.5189669459534113,0.24555749930945586,0.2354755547371329,0.10251584786053884,0.2220351294241944,0.0411053882725832,0.3656563655573165
Georgetown-Marine Park-Bergen Beach-Mill Basin,0.0,0.0,0.5171364876971477,0.16115590557743192,0.07135636057287277,0.10663166447902994,0.6761255911827823,0.1265079067441715,0.07458799508302602,0.016146842510990272,0.31850131045985225,0.2803788420300215,0.40111984751012625,0.6229722340360897,0.22212771128258094,0.15490005468132936,0.03704398191553639,0.07510886097047732,0.01433422922265975,0.12648707210867347
Gravesend,0.0,0.0,0.5404450607501321,0.18234944532488115,0.10848681834597328,0.14286185948230326,0.5036648177496038,0.07871104067617539,0.24874537770734284,0.026016904384574747,0.5747692307692307,0.24272527472527472,0.1825054945054945,0.6907630522088354,0.18799905504370426,0.12123789274746045,0.042591125198098254,0.0731973058637084,0.018258055995773903,0.13404648705758054
Greenpoint,0.0,0.0,0.520584090432071,0.09714851128901683,0.05539499036608863,0.13013103055380648,0.754610056669965,0.022068303798986538,0.05846901142394531,0.03472159755329675,0.34337387359001825,0.3094712962379482,0.3471548301720335,0.43738209258453054,0.3546655057321144,0.2079524016833551,0.05025336571617043,0.09079188030343918,0.021168780546310457,0.16221402656592007
Homecrest,0.0,0.0,0.5097942312876269,0.14246563033516038,0.08158660114331563,0.1000539131997484,0.7788884895318537,0.009592056788570402,0.08659807709587564,0.02486746338395184,0.48449438202247186,0.2721669341894061,0.243338683788122,0.6219317154578958,0.2332939294902997,0.14477435505180447,0.03567256716686135,0.06089945188246922,0.013006559439302722,0.1095785784886333
Kensington-Ocean Parkway,0.027777777777777776,1.0,0.5047775772374987,0.106407261917401,0.06497398778556887,0.16073893194606645,0.4978235481473618,0.07118590083873022,0.22337827794882684,0.046873341119014755,0.4731739380494619,0.30449428970503656,0.2223317722455016,0.5979619223349828,0.2350079677933406,0.1670301098716766,0.028771631808047562,0.047351098842764616,0.016933857097356408,0.0930565877481686
Madison,0.0,0.0,0.5101191366332686,0.174069089277703,0.0582010582010582,0.08651114101988934,0.6541797517571407,0.013633418074871641,0.2216489706395494,0.024026718508548924,0.4391081772868113,0.28209618752525933,0.27879563518792944,0.5904597132970836,0.2479697761457524,0.16157051055716404,0.03686256916404965,0.04912516823687752,0.012486914909525946,0.09847465231045313
Midwood,0.0,0.0,0.5178634992599809,0.14901549356464394,0.09170175662455872,0.07267175000468366,0.7471570151938101,0.052719336043614284,0.11139629428405493,0.016055604473837047,0.5230250842381131,0.23907578755950154,0.2378991282023854,0.5748632905373277,0.2455123632905373,0.17962434617213505,0.027708563613541414,0.04503812503512749,0.011933979054649008,0.0846806677033179
North Side-South Side,0.19444444444444442,1.0,0.4966316951960243,0.06922510583471378,0.058566996429198624,0.3488312166390576,0.5258788882753543,0.029099944781888463,0.07047671636296705,0.025713233940732563,0.38817325149131154,0.23225555459496844,0.3795711939137201,0.444148542683829,0.3599891502687774,0.1958623070473936,0.07551997055034051,0.11704399042886067,0.023670163813730903,0.21623412479293208
Ocean Hill,0.3055555555555555,1.0,0.5457163850110213,0.10489346069066864,0.10226135681408843,0.20358559882439384,0.03850110213078619,0.7275826598089641,0.018750918442321823,0.011579720793534165,0.6349306930693069,0.25996039603960397,0.1051089108910891,0.8119629558907772,0.1388676723314875,0.04916937177773535,0.1050991917707568,0.1731373989713446,0.04626010286554005,0.32449669360764144
Ocean Parkway South,0.0,0.0,0.5051051616242412,0.1382863595727662,0.06356606777348192,0.08154142944525479,0.8255305133392933,0.010774949418905564,0.050910459699807085,0.031242648096739285,0.47379976580796257,0.2495608899297424,0.2766393442622951,0.605185669883854,0.22313103222640274,0.17168329788974318,0.02310262080647438,0.041782336611301936,0.013315767185809062,0.07820072460358538
Park Slope-Gowanus,0.3055555555555555,1.0,0.518847876991378,0.09045627427890797,0.04718330598678951,0.16670050486593305,0.6691300875732596,0.04412501184336974,0.07007214304083594,0.04997225267660157,0.2022987767682281,0.2376793912736379,0.5600218319581339,0.2434666474155357,0.35973144672249496,0.3968019058619694,0.040619374399371966,0.07000446664230316,0.02068190739161625,0.13130574843329135
park-cemetery-etc-Brooklyn,0.0,0.0,0.4106666666666667,0.013333333333333334,0.08709677419354839,0.22666666666666666,0.5786666666666667,0.06133333333333332,0.07466666666666667,0.058666666666666666,0.1333333333333333,0.35757575757575755,0.5090909090909091,0.36666666666666653,0.43666666666666665,0.19666666666666666,2.861333333333333,5.386666666666668,0.8613333333333333,9.109333333333334
Prospect Heights,0.1111111111111111,1.0,0.5133460205923974,0.1027180012687259,0.05596959308391713,0.1143317230273752,0.5058312594544478,0.24837749475430634,0.07295173961840629,0.0585077831454643,0.30854142106955307,0.23909548815775372,0.4523630907726932,0.32252073789773433,0.32741116751269034,0.3500680945895753,0.04928512174888987,0.08012492070463086,0.020153223051773774,0.1495632655052945
Prospect Lefferts Gardens-Wingate,0.08333333333333333,1.0,0.5524415033951818,0.14086760953245964,0.10420403587443948,0.10515692804521144,0.14686504332280897,0.7016709196545708,0.02182719893891556,0.024479910038493147,0.5473486273034975,0.28627303497555473,0.1663783377209477,0.7270903010033445,0.16780936454849502,0.10510033444816054,0.07756296584634459,0.12779147384052014,0.0373253752000346,0.2426798148868993
Rugby-Remsen Village,0.027777777777777776,1.0,0.5636896570213222,0.1435899269003235,0.09633354732862544,0.07000768529606262,0.017604689817876357,0.8891887544458544,0.010866651176922664,0.012332219263283945,0.5333076441404556,0.30687346466933196,0.15981889119021242,0.7866391148544375,0.14367921320394444,0.06968167194161806,0.07236689245947346,0.1022144376329288,0.038909045414737886,0.21349037550714015
Seagate-Coney Island,0.1111111111111111,1.0,0.5526165043636486,0.19264076557603527,0.1751731213131572,0.2620210937763251,0.3105435185497186,0.2979074704316474,0.10540148936887153,0.024126427873437342,0.6866405609689463,0.19087514798287952,0.12248429104817413,0.7679329157405537,0.15235401091129522,0.07971307334815114,0.09330457930383801,0.1747818175691613,0.04636587256124272,0.314452269434242
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0.0,0.0,0.52455010332916,0.19149834824189585,0.09768543830872972,0.08762614454014753,0.6553482268112772,0.07151584631861584,0.17007828880877318,0.015431493521186248,0.47541797083746856,0.26960073288037256,0.25498129628215893,0.5953627831515823,0.25034399194956153,0.1542932248988561,0.04306638709969378,0.06961519315764862,0.01974567450560391,0.1324272547629463
Starrett City,0.0,0.0,0.6069583467872134,0.2911688731030029,0.10393374741200828,0.17823700355182434,0.2227155311591863,0.5502098805295447,0.024701323861801745,0.024136260897642883,0.7523408239700374,0.1992821473158552,0.04837702871410737,0.8109965635738832,0.11200601374570447,0.07699742268041238,0.03503390377784953,0.05093639005489183,0.014288020665159832,0.1002583144979012
Stuyvesant Heights,0.5555555555555556,1.0,0.5380504965044307,0.11117543156551038,0.13155080213903744,0.17981030413679475,0.09665879978032092,0.6684626916625848,0.033590120378204275,0.021478084042095263,0.5699992152554343,0.24205446127285568,0.18794632347170995,0.7298842841765342,0.17624237531395767,0.09387334050950844,0.08969734752341511,0.1397633996823559,0.041516379451099136,0.2709771266568702
Sunset Park East,0.0,0.0,0.4944885177453027,0.08090466249130132,0.08101595940697905,0.3187334725121781,0.12677800974251913,0.01454418928322895,0.5280167014613779,0.011927627000695893,0.6124579631581588,0.27229834864227276,0.11524368819956834,0.8503725654405291,0.1002168824754665,0.04941055208400438,0.04090466249130132,0.06335421016005567,0.015017397355601947,0.11927627000695895
Sunset Park West,0.0,0.0,0.4698224027049166,0.0886243616780243,0.08770444617520573,0.6360388308904265,0.1696672882862471,0.031667741429492656,0.14721926904508775,0.015406870348746014,0.5222036528590187,0.2700250686403247,0.20777127850065658,0.7626764918066578,0.1431516025971349,0.09417190559620736,0.05753176359865453,0.11799152970702545,0.02574202206459034,0.20126531537027031
West Brighton,0.0,0.0,0.5592865304049766,0.35286276501206043,0.08870657607998975,0.02723117938301384,0.9477592992255937,0.011235241843341374,0.009457915450044431,0.004316364098006855,0.5703393999016233,0.2669699950811608,0.16269060501721597,0.4905105193467706,0.2865234662351037,0.22296601441812566,0.09635648089374127,0.16960771867462232,0.03262663450552241,0.298590834073886
Williamsburg,0.027777777777777776,1.0,0.4865993425533805,0.07572482009062102,0.044107965766951945,0.08138123019516096,0.8746113068972665,0.03666301418544733,0.0033760772351704325,0.003968371486954719,0.752495490078172,0.16608538785327723,0.08141912206855081,0.9185772444825371,0.047568030854938936,0.033854724662524115,0.016258477211478658,0.03305001924956318,0.009239790327834868,0.05854828678887671
Windsor Terrace,0.027777777777777776,1.0,0.5363805546729609,0.11760700830647725,0.04226116625310174,0.13077027824429213,0.6749580137079569,0.04788706822205074,0.11710771186056013,0.029276927965140028,0.2724685276409414,0.2738916256157635,0.45363984674329505,0.352717763526555,0.3321088350663097,0.3151734014071353,0.01933638963279016,0.030910989060868775,0.010666787708229312,0.06091416640188825
Battery Park City-Lower Manhattan,0.027777777777777776,1.0,0.514310077180401,0.05979841266370772,0.03802750118539592,0.08658197957889674,0.6480967269388023,0.024050549883026868,0.21179788792443754,0.029472855674836568,0.17495696294282864,0.18107275527770228,0.643970281779469,0.15381443298969072,0.455699558173785,0.3904860088365243,0.052823753197629934,0.14030216236307586,0.023810044384196604,0.2169359599449024
Central Harlem North-Polo Grounds,0.4444444444444444,1.0,0.5355645612073784,0.095933482392398,0.14507548199345216,0.2592696105831936,0.0904835103409726,0.5981227874045091,0.02032094279858394,0.03180314887274083,0.6103294490001439,0.242641346568839,0.14702920443101714,0.689008321775312,0.1832004160887656,0.12779126213592232,0.06389742873113471,0.14867477175330726,0.03380613005403391,0.2463783305384759
Central Harlem South,0.3055555555555555,1.0,0.5284160095817946,0.08877133446451743,0.07403019300592395,0.19642678910070865,0.1991017067571614,0.5234254915660246,0.05232059087733307,0.028725421698772333,0.47423737503204305,0.2409125865162779,0.284850038451679,0.5582386363636364,0.2288068181818182,0.21295454545454545,0.08342149915161194,0.19756462720830426,0.03804770935223077,0.3190338357121469
Chinatown,0.1388888888888889,1.0,0.4771036571784935,0.16974030023609069,0.08240299953658843,0.1470889571918571,0.17744665686667555,0.0549467682302107,0.5865740122054435,0.033943605505813185,0.5711065911714585,0.2307184871639822,0.1981749216645594,0.6576091552273304,0.2395072864109141,0.1028835583617555,0.077041293598824,0.16105394449641408,0.02585861285580649,0.26395385095104457
Clinton,0.1388888888888889,1.0,0.4479714627593525,0.11342650080148105,0.05894801410826561,0.1938906825006209,0.56214300228027,0.056668096538956485,0.15844490100015804,0.02885331767999458,0.34611312764670293,0.23699334543254685,0.41689352692075016,0.2885089505841998,0.42877050058955946,0.2827205488262408,0.12132842661368612,0.2316618878829612,0.043302553450883886,0.3962928679475312
East Harlem North,0.6666666666666666,1.0,0.5413969949697695,0.11520374891448608,0.09488682688201264,0.4784453802166112,0.08497321033573102,0.3583916370369157,0.05467713129393259,0.023512641116809493,0.6976121774766864,0.1922803496006356,0.11010747292267806,0.7382421845479508,0.15930674862080255,0.10245106683124668,0.09863839688027397,0.27694122658976583,0.04591109436188167,0.4214907178319215
East Harlem South,0.4444444444444444,1.0,0.5418471987553741,0.128611338809241,0.11260302197802198,0.4328253341586229,0.21744149087441655,0.2292855111497733,0.0979139133780551,0.02253375043913211,0.5893502930539967,0.22812487010017873,0.1825248368458245,0.6037292685265075,0.22965199884958296,0.1666187326239095,0.05813272663398966,0.13771182896431738,0.027736420362346723,0.22358097596065374
East Village,0.3611111111111111,1.0,0.4923295058342244,0.0941843707870392,0.054536544385326235,0.10859560225001162,0.6791409046534331,0.05043931012040352,0.13846404165310772,0.023360141323044026,0.3869452397995705,0.23375984251968507,0.3792949176807444,0.2942361704725852,0.437629747221883,0.2681340823055318,0.08044721305378644,0.12942215610617824,0.019013527962437826,0.2288828971224025
Gramercy,0.0,0.0,0.551387793157857,0.1115613569533099,0.059091369017504815,0.07498386287025748,0.7101771498242846,0.03937459657175644,0.1435128738435057,0.03195151689019579,0.19721888896731843,0.2342062539704948,0.5685748570621867,0.1876734615752704,0.452866302995502,0.3594602354292277,0.07853403141361258,0.12597719285663056,0.021516172990030842,0.226027397260274
Hamilton Heights,0.3055555555555555,1.0,0.4924773367867754,0.10373657347451816,0.09523041697571673,0.4580825778928925,0.1668126761636322,0.29565018663822656,0.035480307762626645,0.04397425154262207,0.5325600748985748,0.29356080307916366,0.17387912202226152,0.6636530922473798,0.19060191481985225,0.14574499293276796,0.06515197684162413,0.15835682181762778,0.03875599908585359,0.2622647977451055
Hudson Yards-Chelsea-Flat Iron-Union Square,0.0,0.0,0.4798264361116508,0.11547179586814325,0.05071441825941733,0.14037950909915162,0.6314487403665565,0.05736675085810505,0.14379897675021047,0.027006022925976297,0.27765644288291713,0.18758902288481627,0.5347545342322666,0.25579287202404616,0.39827287329633104,0.34593425467962274,0.0,0.0,0.0,0.0
Lenox Hill-Roosevelt Island,0.027777777777777776,1.0,0.5562759746986631,0.1662868216109493,0.03572530269144752,0.09033406052333304,0.7199059121765731,0.03896357143727682,0.11955978598676432,0.0312366698760527,0.24189509152171934,0.23640834168108552,0.5216965667971951,0.21688917143462602,0.3814064723155632,0.4017043562498108,0.02126726060620833,0.03541699674592631,0.0069468988799649,0.06363115623209954
